pairs,scores_lh_prev,coref_label,scores_r1_k1,scores_r0_k1,scores_r1_k0,scores_paired,scores_gpt,scores_llama
"('37abefa82f9e7f77423873b1a7bc6f4c.t1.3', '37abefa82f9e7f77423873b1a7bc6f4c.b4.17')",1,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b2.19', '0392b3b12110fec786b38335ffb6c713.b1.7')",0,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.b2.25', '0392b3b12110fec786b38335ffb6c713.b1.7')",1,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.b2.25', '0392b3b12110fec786b38335ffb6c713.b2.19')",0,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.b3.2', '0392b3b12110fec786b38335ffb6c713.b1.7')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b3.2', '0392b3b12110fec786b38335ffb6c713.b2.25')",0,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.b4.11', '0392b3b12110fec786b38335ffb6c713.b1.7')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b4.11', '0392b3b12110fec786b38335ffb6c713.b2.19')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b4.11', '0392b3b12110fec786b38335ffb6c713.b2.25')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b4.11', '0392b3b12110fec786b38335ffb6c713.b3.2')",1,1,1,1,1,1,0,0
"('0392b3b12110fec786b38335ffb6c713.b4.9', '0392b3b12110fec786b38335ffb6c713.b1.7')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b4.9', '0392b3b12110fec786b38335ffb6c713.b2.19')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b4.9', '0392b3b12110fec786b38335ffb6c713.b2.25')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b4.9', '0392b3b12110fec786b38335ffb6c713.b3.2')",1,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.b5.3', '0392b3b12110fec786b38335ffb6c713.b1.7')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b5.3', '0392b3b12110fec786b38335ffb6c713.b2.19')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b5.3', '0392b3b12110fec786b38335ffb6c713.b2.25')",0,1,1,1,1,1,0,0
"('0392b3b12110fec786b38335ffb6c713.b5.3', '0392b3b12110fec786b38335ffb6c713.b3.2')",1,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b5.3', '0392b3b12110fec786b38335ffb6c713.b4.11')",1,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.b5.3', '0392b3b12110fec786b38335ffb6c713.b4.9')",1,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.b6.2', '0392b3b12110fec786b38335ffb6c713.b1.7')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b6.2', '0392b3b12110fec786b38335ffb6c713.b2.25')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b6.2', '0392b3b12110fec786b38335ffb6c713.b3.2')",1,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.b6.2', '0392b3b12110fec786b38335ffb6c713.b4.11')",1,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.b6.2', '0392b3b12110fec786b38335ffb6c713.b4.9')",1,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.b6.2', '0392b3b12110fec786b38335ffb6c713.b5.3')",1,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.b6.4', '0392b3b12110fec786b38335ffb6c713.b1.7')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b6.4', '0392b3b12110fec786b38335ffb6c713.b2.19')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b6.4', '0392b3b12110fec786b38335ffb6c713.b2.25')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b6.4', '0392b3b12110fec786b38335ffb6c713.b3.2')",1,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b6.4', '0392b3b12110fec786b38335ffb6c713.b4.11')",1,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.b6.4', '0392b3b12110fec786b38335ffb6c713.b4.9')",1,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.b6.4', '0392b3b12110fec786b38335ffb6c713.b5.3')",1,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.b6.4', '0392b3b12110fec786b38335ffb6c713.b6.2')",1,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.b7.6', '0392b3b12110fec786b38335ffb6c713.b1.7')",0,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.b7.6', '0392b3b12110fec786b38335ffb6c713.b2.19')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b7.6', '0392b3b12110fec786b38335ffb6c713.b2.25')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b7.6', '0392b3b12110fec786b38335ffb6c713.b3.2')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b7.6', '0392b3b12110fec786b38335ffb6c713.b4.11')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b7.6', '0392b3b12110fec786b38335ffb6c713.b4.9')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b7.6', '0392b3b12110fec786b38335ffb6c713.b5.3')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b7.6', '0392b3b12110fec786b38335ffb6c713.b6.2')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b7.6', '0392b3b12110fec786b38335ffb6c713.b6.4')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b7.8', '0392b3b12110fec786b38335ffb6c713.b1.7')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b7.8', '0392b3b12110fec786b38335ffb6c713.b2.19')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b7.8', '0392b3b12110fec786b38335ffb6c713.b2.25')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b7.8', '0392b3b12110fec786b38335ffb6c713.b3.2')",1,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b7.8', '0392b3b12110fec786b38335ffb6c713.b4.11')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b7.8', '0392b3b12110fec786b38335ffb6c713.b4.9')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b7.8', '0392b3b12110fec786b38335ffb6c713.b5.3')",1,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b7.8', '0392b3b12110fec786b38335ffb6c713.b6.2')",1,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b7.8', '0392b3b12110fec786b38335ffb6c713.b6.4')",1,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b7.8', '0392b3b12110fec786b38335ffb6c713.b7.6')",0,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.b8.10', '0392b3b12110fec786b38335ffb6c713.b1.7')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b8.10', '0392b3b12110fec786b38335ffb6c713.b2.19')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b8.10', '0392b3b12110fec786b38335ffb6c713.b2.25')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b8.10', '0392b3b12110fec786b38335ffb6c713.b3.2')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b8.10', '0392b3b12110fec786b38335ffb6c713.b4.11')",1,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b8.10', '0392b3b12110fec786b38335ffb6c713.b4.9')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b8.10', '0392b3b12110fec786b38335ffb6c713.b5.3')",1,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b8.10', '0392b3b12110fec786b38335ffb6c713.b6.2')",1,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b8.10', '0392b3b12110fec786b38335ffb6c713.b6.4')",1,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b8.10', '0392b3b12110fec786b38335ffb6c713.b7.6')",0,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.b8.10', '0392b3b12110fec786b38335ffb6c713.b7.8')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b8.12', '0392b3b12110fec786b38335ffb6c713.b1.7')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b8.12', '0392b3b12110fec786b38335ffb6c713.b2.19')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b8.12', '0392b3b12110fec786b38335ffb6c713.b2.25')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b8.12', '0392b3b12110fec786b38335ffb6c713.b3.2')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b8.12', '0392b3b12110fec786b38335ffb6c713.b4.11')",1,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b8.12', '0392b3b12110fec786b38335ffb6c713.b4.9')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b8.12', '0392b3b12110fec786b38335ffb6c713.b5.3')",1,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b8.12', '0392b3b12110fec786b38335ffb6c713.b6.2')",1,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b8.12', '0392b3b12110fec786b38335ffb6c713.b6.4')",1,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b8.12', '0392b3b12110fec786b38335ffb6c713.b7.6')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.b8.12', '0392b3b12110fec786b38335ffb6c713.b7.8')",0,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.b8.12', '0392b3b12110fec786b38335ffb6c713.b8.10')",1,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.t1.5', '0392b3b12110fec786b38335ffb6c713.b1.7')",1,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.t1.5', '0392b3b12110fec786b38335ffb6c713.b2.19')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.t1.5', '0392b3b12110fec786b38335ffb6c713.b2.25')",1,1,1,1,1,1,1,1
"('0392b3b12110fec786b38335ffb6c713.t1.5', '0392b3b12110fec786b38335ffb6c713.b3.2')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.t1.5', '0392b3b12110fec786b38335ffb6c713.b4.11')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.t1.5', '0392b3b12110fec786b38335ffb6c713.b4.9')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.t1.5', '0392b3b12110fec786b38335ffb6c713.b5.3')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.t1.5', '0392b3b12110fec786b38335ffb6c713.b6.2')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.t1.5', '0392b3b12110fec786b38335ffb6c713.b6.4')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.t1.5', '0392b3b12110fec786b38335ffb6c713.b7.6')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.t1.5', '0392b3b12110fec786b38335ffb6c713.b7.8')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.t1.5', '0392b3b12110fec786b38335ffb6c713.b8.10')",0,1,1,1,1,1,0,1
"('0392b3b12110fec786b38335ffb6c713.t1.5', '0392b3b12110fec786b38335ffb6c713.b8.12')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.22', '0392b3b12110fec786b38335ffb6c713.b1.7')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.22', '0392b3b12110fec786b38335ffb6c713.b2.19')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.22', '0392b3b12110fec786b38335ffb6c713.b2.25')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.22', '0392b3b12110fec786b38335ffb6c713.b3.2')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.22', '0392b3b12110fec786b38335ffb6c713.b4.11')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.22', '0392b3b12110fec786b38335ffb6c713.b4.9')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.22', '0392b3b12110fec786b38335ffb6c713.b5.3')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.22', '0392b3b12110fec786b38335ffb6c713.b6.2')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.22', '0392b3b12110fec786b38335ffb6c713.b6.4')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.22', '0392b3b12110fec786b38335ffb6c713.b7.6')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.22', '0392b3b12110fec786b38335ffb6c713.b7.8')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.22', '0392b3b12110fec786b38335ffb6c713.b8.10')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.22', '0392b3b12110fec786b38335ffb6c713.b8.12')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.22', '0392b3b12110fec786b38335ffb6c713.t1.5')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.25', '0392b3b12110fec786b38335ffb6c713.b1.7')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.25', '0392b3b12110fec786b38335ffb6c713.b2.19')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.25', '0392b3b12110fec786b38335ffb6c713.b2.25')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.25', '0392b3b12110fec786b38335ffb6c713.b4.11')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.25', '0392b3b12110fec786b38335ffb6c713.b4.9')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.25', '0392b3b12110fec786b38335ffb6c713.b5.3')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.25', '0392b3b12110fec786b38335ffb6c713.b6.4')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.25', '0392b3b12110fec786b38335ffb6c713.b7.6')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.25', '0392b3b12110fec786b38335ffb6c713.b7.8')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.25', '0392b3b12110fec786b38335ffb6c713.b8.10')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.25', '0392b3b12110fec786b38335ffb6c713.b8.12')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.25', '0392b3b12110fec786b38335ffb6c713.t1.5')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.25', '66d30db65488c2b02e5882d7e762b5c3.b1.22')",0,1,1,1,1,1,1,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.7', '0392b3b12110fec786b38335ffb6c713.b9.10')",0,1,0,1,1,0,1,1
"('66d30db65488c2b02e5882d7e762b5c3.b1.9', '0392b3b12110fec786b38335ffb6c713.b9.12')",0,1,1,1,0,1,1,1
"('66d30db65488c2b02e5882d7e762b5c3.b2.11', '0392b3b12110fec786b38335ffb6c713.b9.10')",1,1,1,1,1,0,1,1
"('66d30db65488c2b02e5882d7e762b5c3.b2.11', '66d30db65488c2b02e5882d7e762b5c3.b1.7')",0,1,1,1,1,0,1,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.19', '0392b3b12110fec786b38335ffb6c713.b1.7')",0,1,1,1,1,1,1,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.19', '0392b3b12110fec786b38335ffb6c713.b2.19')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.19', '0392b3b12110fec786b38335ffb6c713.b2.25')",0,1,1,1,1,1,1,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.19', '0392b3b12110fec786b38335ffb6c713.b3.2')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.19', '0392b3b12110fec786b38335ffb6c713.b4.11')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.19', '0392b3b12110fec786b38335ffb6c713.b4.9')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.19', '0392b3b12110fec786b38335ffb6c713.b5.3')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.19', '0392b3b12110fec786b38335ffb6c713.b6.2')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.19', '0392b3b12110fec786b38335ffb6c713.b6.4')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.19', '0392b3b12110fec786b38335ffb6c713.b7.6')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.19', '0392b3b12110fec786b38335ffb6c713.b7.8')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.19', '0392b3b12110fec786b38335ffb6c713.b8.10')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.19', '0392b3b12110fec786b38335ffb6c713.b8.12')",1,1,1,1,1,1,0,0
"('66d30db65488c2b02e5882d7e762b5c3.b6.19', '0392b3b12110fec786b38335ffb6c713.t1.5')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.19', '66d30db65488c2b02e5882d7e762b5c3.b1.22')",0,1,1,1,1,1,1,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.19', '66d30db65488c2b02e5882d7e762b5c3.b1.25')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.3', '0392b3b12110fec786b38335ffb6c713.b1.7')",0,1,1,1,1,1,1,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.3', '0392b3b12110fec786b38335ffb6c713.b2.19')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.3', '0392b3b12110fec786b38335ffb6c713.b2.25')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.3', '0392b3b12110fec786b38335ffb6c713.b3.2')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.3', '0392b3b12110fec786b38335ffb6c713.b4.11')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.3', '0392b3b12110fec786b38335ffb6c713.b4.9')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.3', '0392b3b12110fec786b38335ffb6c713.b5.3')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.3', '0392b3b12110fec786b38335ffb6c713.b6.2')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.3', '0392b3b12110fec786b38335ffb6c713.b6.4')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.3', '0392b3b12110fec786b38335ffb6c713.b7.6')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.3', '0392b3b12110fec786b38335ffb6c713.b7.8')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.3', '0392b3b12110fec786b38335ffb6c713.b8.10')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.3', '0392b3b12110fec786b38335ffb6c713.b8.12')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.3', '0392b3b12110fec786b38335ffb6c713.t1.5')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.3', '66d30db65488c2b02e5882d7e762b5c3.b1.22')",1,1,1,1,1,1,1,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.3', '66d30db65488c2b02e5882d7e762b5c3.b1.25')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b6.3', '66d30db65488c2b02e5882d7e762b5c3.b6.19')",1,1,1,1,1,1,1,1
"('66d30db65488c2b02e5882d7e762b5c3.b7.30', '0392b3b12110fec786b38335ffb6c713.b2.19')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b7.30', '0392b3b12110fec786b38335ffb6c713.b2.25')",0,1,1,1,1,1,0,0
"('66d30db65488c2b02e5882d7e762b5c3.b7.30', '0392b3b12110fec786b38335ffb6c713.b4.9')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b7.30', '0392b3b12110fec786b38335ffb6c713.b5.3')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b7.30', '0392b3b12110fec786b38335ffb6c713.b6.4')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b7.30', '0392b3b12110fec786b38335ffb6c713.b8.10')",0,1,1,1,1,1,0,0
"('66d30db65488c2b02e5882d7e762b5c3.b7.30', '0392b3b12110fec786b38335ffb6c713.b8.12')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b7.30', '66d30db65488c2b02e5882d7e762b5c3.b6.19')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b8.11', '0392b3b12110fec786b38335ffb6c713.b1.7')",0,1,1,1,1,1,0,0
"('66d30db65488c2b02e5882d7e762b5c3.b8.11', '0392b3b12110fec786b38335ffb6c713.b2.19')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b8.11', '0392b3b12110fec786b38335ffb6c713.b2.25')",0,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b8.11', '0392b3b12110fec786b38335ffb6c713.b3.2')",1,1,1,1,1,1,0,1
"('66d30db65488c2b02e5882d7e762b5c3.b8.11', '0392b3b12110fec786b38335ffb6c713.t1.5')",0,1,1,1,1,1,0,1
