pairs,scores_lh_prev,coref_label
"('45_6ecb.xml_91', '45_6ecb.xml_90')",1,1
"('45_6ecb.xml_92', '45_6ecb.xml_100')",0,1
"('45_6ecb.xml_94', '45_1ecb.xml_140')",0,1
"('45_6ecb.xml_94', '45_1ecb.xml_148')",0,1
"('45_6ecb.xml_95', '45_1ecb.xml_140')",0,1
"('45_6ecb.xml_95', '45_1ecb.xml_148')",0,1
"('45_6ecb.xml_95', '45_6ecb.xml_94')",0,1
"('45_7ecb.xml_37', '45_1ecb.xml_102')",0,1
"('45_7ecb.xml_37', '45_1ecb.xml_106')",0,1
"('45_7ecb.xml_37', '45_6ecb.xml_89')",0,1
"('45_7ecb.xml_37', '45_6ecb.xml_91')",0,1
"('45_7ecb.xml_38', '45_2ecb.xml_40')",1,1
"('45_7ecb.xml_38', '45_4ecb.xml_38')",1,1
"('45_7ecb.xml_38', '45_6ecb.xml_52')",0,1
"('45_7ecb.xml_39', '45_1ecb.xml_134')",0,1
"('45_7ecb.xml_39', '45_2ecb.xml_39')",1,1
"('45_7ecb.xml_39', '45_3ecb.xml_7')",1,1
"('45_7ecb.xml_39', '45_4ecb.xml_55')",1,1
"('45_7ecb.xml_39', '45_6ecb.xml_53')",0,1
"('45_7ecb.xml_45', '45_4ecb.xml_56')",1,1
"('45_7ecb.xml_45', '45_6ecb.xml_72')",1,1
"('45_7ecb.xml_46', '45_2ecb.xml_64')",1,1
"('45_7ecb.xml_46', '45_4ecb.xml_54')",0,1
"('45_7ecb.xml_46', '45_6ecb.xml_72')",0,1
"('45_7ecb.xml_46', '45_6ecb.xml_73')",1,1
"('45_7ecb.xml_46', '45_6ecb.xml_74')",0,1
"('45_7ecb.xml_47', '45_2ecb.xml_63')",1,1
"('45_7ecb.xml_59', '45_1ecb.xml_102')",1,1
"('45_7ecb.xml_59', '45_1ecb.xml_106')",1,1
"('45_7ecb.xml_59', '45_2ecb.xml_66')",0,1
"('45_7ecb.xml_59', '45_4ecb.xml_64')",0,1
"('45_7ecb.xml_59', '45_4ecb.xml_69')",1,1
"('45_7ecb.xml_59', '45_5ecb.xml_14')",0,1
"('45_7ecb.xml_59', '45_6ecb.xml_89')",1,1
"('45_7ecb.xml_59', '45_6ecb.xml_90')",1,1
"('45_7ecb.xml_59', '45_6ecb.xml_91')",1,1
"('45_7ecb.xml_59', '45_7ecb.xml_37')",1,1
"('45_7ecb.xml_66', '45_2ecb.xml_72')",0,1
"('45_7ecb.xml_66', '45_4ecb.xml_62')",0,1
"('45_7ecb.xml_66', '45_4ecb.xml_63')",1,1
"('45_7ecb.xml_66', '45_6ecb.xml_82')",0,1
"('45_7ecb.xml_66', '45_6ecb.xml_83')",1,1
"('45_7ecb.xml_66', '45_6ecb.xml_84')",1,1
"('45_8ecb.xml_15', '45_1ecb.xml_136')",0,1
"('45_8ecb.xml_15', '45_1ecb.xml_137')",0,1
"('45_8ecb.xml_15', '45_4ecb.xml_52')",0,1
"('45_8ecb.xml_15', '45_5ecb.xml_15')",0,1
"('45_8ecb.xml_15', '45_6ecb.xml_77')",0,1
"('45_8ecb.xml_15', '45_6ecb.xml_78')",1,1
"('45_8ecb.xml_25', '45_4ecb.xml_68')",0,1
"('43_1ecb.xml_113', '43_1ecb.xml_106')",1,1
"('43_1ecb.xml_128', '43_1ecb.xml_114')",1,1
"('43_1ecb.xml_80', '43_1ecb.xml_106')",1,1
"('43_2ecb.xml_38', '43_1ecb.xml_128')",1,1
"('43_2ecb.xml_44', '43_1ecb.xml_129')",1,1
"('43_2ecb.xml_80', '43_2ecb.xml_45')",1,1
"('43_3ecb.xml_77', '43_1ecb.xml_128')",1,1
"('43_3ecb.xml_77', '43_2ecb.xml_38')",1,1
"('43_3ecb.xml_78', '43_1ecb.xml_114')",1,1
"('43_3ecb.xml_78', '43_1ecb.xml_128')",1,1
"('43_3ecb.xml_78', '43_2ecb.xml_38')",1,1
"('43_3ecb.xml_78', '43_3ecb.xml_77')",1,1
"('43_3ecb.xml_93', '43_1ecb.xml_132')",1,1
"('43_3ecb.xml_95', '43_3ecb.xml_94')",1,1
"('43_3ecb.xml_96', '43_1ecb.xml_132')",1,1
"('43_3ecb.xml_96', '43_3ecb.xml_93')",1,1
"('43_3ecb.xml_97', '43_3ecb.xml_92')",1,1
"('43_3ecb.xml_99', '43_1ecb.xml_129')",1,1
"('43_3ecb.xml_99', '43_2ecb.xml_44')",1,1
"('43_4ecb.xml_31', '43_2ecb.xml_47')",1,1
"('43_4ecb.xml_32', '43_1ecb.xml_129')",1,1
"('43_4ecb.xml_32', '43_2ecb.xml_44')",1,1
"('43_4ecb.xml_32', '43_3ecb.xml_99')",1,1
"('43_4ecb.xml_40', '43_3ecb.xml_107')",1,1
"('43_4ecb.xml_65', '43_3ecb.xml_146')",1,1
"('43_5ecb.xml_108', '43_1ecb.xml_132')",1,1
"('43_5ecb.xml_108', '43_3ecb.xml_93')",1,1
"('43_5ecb.xml_108', '43_3ecb.xml_96')",1,1
"('43_5ecb.xml_110', '43_3ecb.xml_98')",1,1
"('43_5ecb.xml_112', '43_1ecb.xml_132')",0,1
"('43_5ecb.xml_112', '43_3ecb.xml_96')",1,1
"('43_5ecb.xml_112', '43_5ecb.xml_108')",0,1
"('43_5ecb.xml_122', '43_1ecb.xml_113')",1,1
"('43_5ecb.xml_122', '43_1ecb.xml_80')",0,1
"('43_5ecb.xml_149', '43_1ecb.xml_128')",0,1
"('43_5ecb.xml_149', '43_2ecb.xml_38')",0,1
"('43_5ecb.xml_149', '43_3ecb.xml_77')",0,1
"('43_5ecb.xml_149', '43_3ecb.xml_78')",1,1
"('43_5ecb.xml_150', '43_1ecb.xml_114')",0,1
"('43_5ecb.xml_150', '43_1ecb.xml_128')",1,1
"('43_5ecb.xml_150', '43_2ecb.xml_38')",0,1
"('43_5ecb.xml_150', '43_3ecb.xml_77')",0,1
"('43_5ecb.xml_150', '43_3ecb.xml_78')",0,1
"('43_5ecb.xml_150', '43_5ecb.xml_149')",0,1
"('43_5ecb.xml_92', '43_3ecb.xml_92')",0,1
"('43_5ecb.xml_92', '43_3ecb.xml_97')",0,1
"('43_6ecb.xml_45', '43_1ecb.xml_106')",0,1
"('43_6ecb.xml_45', '43_1ecb.xml_113')",1,1
"('43_6ecb.xml_45', '43_1ecb.xml_80')",0,1
"('43_6ecb.xml_45', '43_5ecb.xml_122')",0,1
"('43_6ecb.xml_46', '43_1ecb.xml_113')",0,1
"('43_6ecb.xml_46', '43_1ecb.xml_80')",1,1
"('43_6ecb.xml_49', '43_1ecb.xml_106')",0,1
"('43_6ecb.xml_49', '43_1ecb.xml_113')",0,1
"('43_6ecb.xml_49', '43_1ecb.xml_80')",0,1
"('43_6ecb.xml_49', '43_5ecb.xml_122')",1,1
"('43_6ecb.xml_49', '43_6ecb.xml_45')",1,1
"('43_6ecb.xml_53', '43_3ecb.xml_98')",0,1
"('43_6ecb.xml_53', '43_5ecb.xml_110')",1,1
"('43_6ecb.xml_54', '43_1ecb.xml_132')",1,1
"('43_6ecb.xml_54', '43_5ecb.xml_108')",1,1
"('43_6ecb.xml_54', '43_5ecb.xml_112')",1,1
"('43_7ecb.xml_100', '43_1ecb.xml_114')",1,1
"('43_7ecb.xml_100', '43_1ecb.xml_128')",1,1
"('43_7ecb.xml_100', '43_2ecb.xml_38')",0,1
"('43_7ecb.xml_100', '43_3ecb.xml_77')",1,1
"('43_7ecb.xml_100', '43_3ecb.xml_78')",0,1
"('43_7ecb.xml_100', '43_5ecb.xml_149')",1,1
"('43_7ecb.xml_100', '43_5ecb.xml_150')",1,1
"('43_7ecb.xml_125', '43_3ecb.xml_92')",1,1
"('43_7ecb.xml_125', '43_3ecb.xml_97')",1,1
"('43_7ecb.xml_125', '43_5ecb.xml_92')",1,1
"('43_7ecb.xml_70', '43_1ecb.xml_106')",1,1
"('43_7ecb.xml_70', '43_1ecb.xml_113')",1,1
"('43_7ecb.xml_70', '43_1ecb.xml_80')",0,1
"('43_7ecb.xml_70', '43_5ecb.xml_122')",1,1
"('43_7ecb.xml_70', '43_6ecb.xml_45')",1,1
"('43_7ecb.xml_70', '43_6ecb.xml_49')",1,1
"('43_7ecb.xml_75', '43_1ecb.xml_100')",1,1
"('43_7ecb.xml_75', '43_3ecb.xml_95')",1,1
"('43_7ecb.xml_86', '43_1ecb.xml_100')",1,1
"('43_7ecb.xml_86', '43_3ecb.xml_94')",1,1
"('43_7ecb.xml_99', '43_1ecb.xml_114')",1,1
"('43_7ecb.xml_99', '43_1ecb.xml_128')",1,1
"('43_7ecb.xml_99', '43_3ecb.xml_77')",1,1
"('43_7ecb.xml_99', '43_3ecb.xml_78')",1,1
"('43_7ecb.xml_99', '43_5ecb.xml_149')",1,1
"('43_7ecb.xml_99', '43_5ecb.xml_150')",0,1
"('43_7ecb.xml_99', '43_7ecb.xml_100')",0,1
"('43_8ecb.xml_29', '43_3ecb.xml_95')",0,1
"('43_8ecb.xml_29', '43_7ecb.xml_75')",0,1
"('43_8ecb.xml_29', '43_7ecb.xml_86')",1,1
"('43_8ecb.xml_48', '43_1ecb.xml_132')",1,1
"('43_8ecb.xml_48', '43_3ecb.xml_93')",1,1
"('43_8ecb.xml_48', '43_3ecb.xml_96')",1,1
"('43_8ecb.xml_48', '43_5ecb.xml_108')",1,1
"('43_8ecb.xml_48', '43_5ecb.xml_112')",1,1
"('43_8ecb.xml_48', '43_6ecb.xml_54')",1,1
"('36_1ecbplus.xml_15', '36_1ecbplus.xml_14')",1,1
"('36_1ecbplus.xml_16', '36_11ecbplus.xml_31')",0,1
"('36_1ecbplus.xml_17', '36_11ecbplus.xml_32')",1,1
"('36_1ecbplus.xml_42', '36_1ecbplus.xml_41')",1,1
"('36_1ecbplus.xml_54', '36_11ecbplus.xml_32')",1,1
"('36_1ecbplus.xml_54', '36_1ecbplus.xml_17')",1,1
"('36_1ecbplus.xml_55', '36_11ecbplus.xml_31')",1,1
"('36_1ecbplus.xml_55', '36_1ecbplus.xml_16')",1,1
"('36_1ecbplus.xml_56', '36_11ecbplus.xml_32')",1,1
"('36_1ecbplus.xml_56', '36_1ecbplus.xml_17')",0,1
"('36_1ecbplus.xml_56', '36_1ecbplus.xml_54')",1,1
"('36_1ecbplus.xml_57', '36_11ecbplus.xml_31')",1,1
"('36_1ecbplus.xml_57', '36_1ecbplus.xml_16')",1,1
"('36_1ecbplus.xml_57', '36_1ecbplus.xml_55')",1,1
"('36_2ecbplus.xml_107', '36_2ecbplus.xml_104')",0,1
"('36_2ecbplus.xml_39', '36_2ecbplus.xml_16')",1,1
"('36_2ecbplus.xml_40', '36_11ecbplus.xml_32')",1,1
"('36_2ecbplus.xml_40', '36_1ecbplus.xml_17')",1,1
"('36_2ecbplus.xml_40', '36_1ecbplus.xml_54')",1,1
"('36_2ecbplus.xml_40', '36_1ecbplus.xml_56')",1,1
"('36_2ecbplus.xml_41', '36_11ecbplus.xml_32')",1,1
"('36_2ecbplus.xml_41', '36_1ecbplus.xml_17')",1,1
"('36_2ecbplus.xml_41', '36_1ecbplus.xml_54')",1,1
"('36_2ecbplus.xml_41', '36_1ecbplus.xml_56')",1,1
"('36_2ecbplus.xml_41', '36_2ecbplus.xml_40')",1,1
"('36_3ecbplus.xml_14', '36_2ecbplus.xml_16')",1,1
"('36_3ecbplus.xml_14', '36_2ecbplus.xml_39')",1,1
"('36_3ecbplus.xml_15', '36_2ecbplus.xml_16')",1,1
"('36_3ecbplus.xml_15', '36_2ecbplus.xml_39')",1,1
"('36_3ecbplus.xml_15', '36_3ecbplus.xml_14')",0,1
"('36_3ecbplus.xml_20', '36_1ecbplus.xml_18')",1,1
"('36_3ecbplus.xml_83', '36_11ecbplus.xml_32')",1,1
"('36_3ecbplus.xml_83', '36_1ecbplus.xml_17')",1,1
"('36_3ecbplus.xml_83', '36_1ecbplus.xml_54')",1,1
"('36_3ecbplus.xml_83', '36_1ecbplus.xml_56')",1,1
"('36_3ecbplus.xml_83', '36_2ecbplus.xml_40')",1,1
"('36_3ecbplus.xml_83', '36_2ecbplus.xml_41')",1,1
"('36_3ecbplus.xml_89', '36_11ecbplus.xml_32')",0,1
"('36_3ecbplus.xml_89', '36_1ecbplus.xml_17')",1,1
"('36_3ecbplus.xml_89', '36_1ecbplus.xml_54')",1,1
"('36_3ecbplus.xml_89', '36_1ecbplus.xml_56')",1,1
"('36_3ecbplus.xml_89', '36_2ecbplus.xml_40')",1,1
"('36_3ecbplus.xml_89', '36_2ecbplus.xml_41')",1,1
"('36_3ecbplus.xml_89', '36_3ecbplus.xml_83')",1,1
"('36_3ecbplus.xml_94', '36_11ecbplus.xml_28')",1,1
"('36_4ecbplus.xml_28', '36_11ecbplus.xml_89')",1,1
"('36_4ecbplus.xml_29', '36_11ecbplus.xml_31')",1,1
"('36_4ecbplus.xml_29', '36_1ecbplus.xml_16')",1,1
"('36_4ecbplus.xml_29', '36_1ecbplus.xml_55')",1,1
"('36_4ecbplus.xml_29', '36_1ecbplus.xml_57')",1,1
"('36_4ecbplus.xml_33', '36_11ecbplus.xml_32')",1,1
"('36_4ecbplus.xml_33', '36_1ecbplus.xml_17')",1,1
"('36_4ecbplus.xml_33', '36_1ecbplus.xml_54')",1,1
"('36_4ecbplus.xml_33', '36_1ecbplus.xml_56')",1,1
"('36_4ecbplus.xml_33', '36_2ecbplus.xml_40')",1,1
"('36_4ecbplus.xml_33', '36_2ecbplus.xml_41')",1,1
"('36_4ecbplus.xml_33', '36_3ecbplus.xml_83')",1,1
"('36_4ecbplus.xml_33', '36_3ecbplus.xml_89')",1,1
"('36_5ecbplus.xml_126', '36_2ecbplus.xml_104')",1,1
"('36_5ecbplus.xml_126', '36_2ecbplus.xml_107')",0,1
"('36_5ecbplus.xml_30', '36_2ecbplus.xml_16')",1,1
"('36_5ecbplus.xml_30', '36_2ecbplus.xml_39')",0,1
"('36_5ecbplus.xml_30', '36_3ecbplus.xml_14')",1,1
"('36_5ecbplus.xml_30', '36_3ecbplus.xml_15')",1,1
"('36_5ecbplus.xml_31', '36_1ecbplus.xml_14')",0,1
"('36_5ecbplus.xml_31', '36_1ecbplus.xml_15')",1,1
"('36_5ecbplus.xml_33', '36_11ecbplus.xml_32')",0,1
"('36_5ecbplus.xml_33', '36_1ecbplus.xml_17')",1,1
"('36_5ecbplus.xml_33', '36_1ecbplus.xml_54')",1,1
"('36_5ecbplus.xml_33', '36_1ecbplus.xml_56')",1,1
"('36_5ecbplus.xml_33', '36_2ecbplus.xml_40')",1,1
"('36_5ecbplus.xml_33', '36_2ecbplus.xml_41')",1,1
"('36_5ecbplus.xml_33', '36_3ecbplus.xml_83')",1,1
"('36_5ecbplus.xml_33', '36_3ecbplus.xml_89')",1,1
"('36_5ecbplus.xml_33', '36_4ecbplus.xml_33')",1,1
"('36_5ecbplus.xml_53', '36_11ecbplus.xml_59')",1,1
"('36_6ecbplus.xml_21', '36_2ecbplus.xml_16')",1,1
"('36_6ecbplus.xml_21', '36_2ecbplus.xml_39')",1,1
"('36_6ecbplus.xml_21', '36_3ecbplus.xml_14')",1,1
"('36_6ecbplus.xml_21', '36_3ecbplus.xml_15')",1,1
"('36_6ecbplus.xml_21', '36_5ecbplus.xml_30')",1,1
"('36_6ecbplus.xml_22', '36_2ecbplus.xml_16')",1,1
"('36_6ecbplus.xml_22', '36_2ecbplus.xml_39')",1,1
"('36_6ecbplus.xml_22', '36_3ecbplus.xml_14')",1,1
"('36_6ecbplus.xml_22', '36_3ecbplus.xml_15')",0,1
"('36_6ecbplus.xml_22', '36_5ecbplus.xml_30')",1,1
"('36_6ecbplus.xml_22', '36_6ecbplus.xml_21')",1,1
"('36_6ecbplus.xml_36', '36_1ecbplus.xml_18')",1,1
"('36_6ecbplus.xml_36', '36_3ecbplus.xml_20')",1,1
"('36_6ecbplus.xml_37', '36_3ecbplus.xml_21')",1,1
"('36_6ecbplus.xml_79', '36_11ecbplus.xml_32')",1,1
"('36_6ecbplus.xml_79', '36_1ecbplus.xml_17')",1,1
"('36_6ecbplus.xml_79', '36_1ecbplus.xml_54')",1,1
"('36_6ecbplus.xml_79', '36_1ecbplus.xml_56')",1,1
"('36_6ecbplus.xml_79', '36_2ecbplus.xml_40')",1,1
"('36_6ecbplus.xml_79', '36_2ecbplus.xml_41')",1,1
"('36_6ecbplus.xml_79', '36_3ecbplus.xml_83')",1,1
"('36_6ecbplus.xml_79', '36_3ecbplus.xml_89')",1,1
"('36_6ecbplus.xml_79', '36_4ecbplus.xml_33')",1,1
"('36_6ecbplus.xml_79', '36_5ecbplus.xml_33')",1,1
"('36_6ecbplus.xml_80', '36_11ecbplus.xml_32')",1,1
"('36_6ecbplus.xml_80', '36_1ecbplus.xml_17')",1,1
"('36_6ecbplus.xml_80', '36_1ecbplus.xml_54')",1,1
"('36_6ecbplus.xml_80', '36_1ecbplus.xml_56')",1,1
"('36_6ecbplus.xml_80', '36_2ecbplus.xml_40')",1,1
"('36_6ecbplus.xml_80', '36_2ecbplus.xml_41')",1,1
"('36_6ecbplus.xml_80', '36_3ecbplus.xml_83')",1,1
"('36_6ecbplus.xml_80', '36_3ecbplus.xml_89')",1,1
"('36_6ecbplus.xml_80', '36_4ecbplus.xml_33')",1,1
"('36_6ecbplus.xml_80', '36_5ecbplus.xml_33')",1,1
"('36_6ecbplus.xml_80', '36_6ecbplus.xml_79')",1,1
"('36_6ecbplus.xml_81', '36_11ecbplus.xml_31')",1,1
"('36_6ecbplus.xml_81', '36_1ecbplus.xml_16')",1,1
"('36_6ecbplus.xml_81', '36_1ecbplus.xml_55')",1,1
"('36_6ecbplus.xml_81', '36_1ecbplus.xml_57')",1,1
"('36_6ecbplus.xml_81', '36_4ecbplus.xml_29')",1,1
"('36_6ecbplus.xml_84', '36_11ecbplus.xml_28')",1,1
"('36_6ecbplus.xml_84', '36_3ecbplus.xml_94')",1,1
"('36_8ecbplus.xml_102', '36_11ecbplus.xml_28')",1,1
"('36_8ecbplus.xml_23', '36_10ecbplus.xml_8')",1,1
"('36_9ecbplus.xml_20', '36_9ecbplus.xml_18')",1,1
"('36_9ecbplus.xml_22', '36_11ecbplus.xml_89')",1,1
"('36_9ecbplus.xml_22', '36_4ecbplus.xml_28')",1,1
"('36_9ecbplus.xml_28', '36_11ecbplus.xml_31')",0,1
"('36_9ecbplus.xml_28', '36_1ecbplus.xml_16')",1,1
"('36_9ecbplus.xml_28', '36_1ecbplus.xml_55')",0,1
"('36_9ecbplus.xml_28', '36_1ecbplus.xml_57')",1,1
"('36_9ecbplus.xml_28', '36_4ecbplus.xml_29')",1,1
"('36_9ecbplus.xml_28', '36_6ecbplus.xml_81')",1,1
"('36_9ecbplus.xml_30', '36_9ecbplus.xml_23')",1,1
"('36_9ecbplus.xml_31', '36_11ecbplus.xml_32')",1,1
"('36_9ecbplus.xml_31', '36_1ecbplus.xml_17')",1,1
"('36_9ecbplus.xml_31', '36_1ecbplus.xml_54')",1,1
"('36_9ecbplus.xml_31', '36_1ecbplus.xml_56')",1,1
"('36_9ecbplus.xml_31', '36_2ecbplus.xml_40')",1,1
"('36_9ecbplus.xml_31', '36_2ecbplus.xml_41')",1,1
"('36_9ecbplus.xml_31', '36_3ecbplus.xml_83')",1,1
"('36_9ecbplus.xml_31', '36_3ecbplus.xml_89')",1,1
"('36_9ecbplus.xml_31', '36_4ecbplus.xml_33')",1,1
"('36_9ecbplus.xml_31', '36_5ecbplus.xml_33')",1,1
"('36_9ecbplus.xml_31', '36_6ecbplus.xml_79')",1,1
"('36_9ecbplus.xml_31', '36_6ecbplus.xml_80')",1,1
"('36_9ecbplus.xml_68', '36_11ecbplus.xml_32')",1,1
"('36_9ecbplus.xml_68', '36_1ecbplus.xml_54')",0,1
"('36_9ecbplus.xml_68', '36_1ecbplus.xml_56')",1,1
"('36_9ecbplus.xml_68', '36_2ecbplus.xml_40')",0,1
"('36_9ecbplus.xml_68', '36_2ecbplus.xml_41')",1,1
"('36_9ecbplus.xml_68', '36_3ecbplus.xml_83')",0,1
"('36_9ecbplus.xml_68', '36_3ecbplus.xml_89')",0,1
"('36_9ecbplus.xml_68', '36_4ecbplus.xml_33')",1,1
"('36_9ecbplus.xml_68', '36_5ecbplus.xml_33')",1,1
"('36_9ecbplus.xml_68', '36_6ecbplus.xml_79')",0,1
"('36_9ecbplus.xml_68', '36_6ecbplus.xml_80')",1,1
"('36_9ecbplus.xml_68', '36_8ecbplus.xml_24')",0,1
"('36_9ecbplus.xml_68', '36_9ecbplus.xml_31')",1,1
"('36_9ecbplus.xml_69', '36_11ecbplus.xml_31')",1,1
"('36_9ecbplus.xml_69', '36_1ecbplus.xml_55')",0,1
"('36_9ecbplus.xml_69', '36_1ecbplus.xml_57')",1,1
"('36_9ecbplus.xml_69', '36_4ecbplus.xml_29')",0,1
"('36_9ecbplus.xml_69', '36_6ecbplus.xml_81')",0,1
"('36_9ecbplus.xml_69', '36_9ecbplus.xml_28')",0,1
"('36_9ecbplus.xml_70', '36_11ecbplus.xml_32')",0,1
"('36_9ecbplus.xml_70', '36_1ecbplus.xml_17')",1,1
"('36_9ecbplus.xml_70', '36_1ecbplus.xml_54')",1,1
"('36_9ecbplus.xml_70', '36_1ecbplus.xml_56')",1,1
"('36_9ecbplus.xml_70', '36_2ecbplus.xml_40')",1,1
"('36_9ecbplus.xml_70', '36_2ecbplus.xml_41')",1,1
